	time	id	sentiment	topic	like	text
114	Sun Nov 28 23:59:13 +0000 2021	1465108046540120069	+	CV	2	@AlanStout19 @action_northern So as a Doctor. You are giving out the names of children that are eligible for vaccination.  You get paid for their names also get paid if they get the Vax. Is this correct. If so you should all be ashamed of yourself.  99.8 survival.
117	Sun Nov 28 23:59:12 +0000 2021	1465108044090683395	-	CT	0	"Travel doors slam shut as new Covid variant triggers alarm, stranding hundreds of passengers  https://t.co/yeGRIKGWjh"
118	Sun Nov 28 23:59:12 +0000 2021	1465108043549577221	-	CV	0	"""Will the Vaccines Stop Omicron? Scientists Are Racing to Find Out."" by BY APOORVA MANDAVILLI via NYT https://t.co/U3bYqBdfeX #health https://t.co/roTgLv7fua"
119	Sun Nov 28 23:59:11 +0000 2021	1465108040634359808	-	CR	10	Virus so “dangerous” that we have to sift through the 💩 to find it and then lockdown the town because there are no cases and low vaccination. So much sCiEnCe it hurts !!! https://t.co/ydCQ00heFH
120	Sun Nov 28 23:59:11 +0000 2021	1465108040508530693	-	CS	0	Two cases of COVID-19 Omicron variant reported in Canada https://t.co/CmbWw7N7Zz via @nypost
122	Sun Nov 28 23:59:11 +0000 2021	1465108038898094082	/	CL	2	"Trump says he 'wanted Biden to be successful' tackling COVID-19, blasts performance - Business Insider  How is that 1mbecile still talking without eveyone cracking up laughing? He is a carricature of an incompetent trustfund baby mor0n…. https://t.co/JVQKkouCjY"
123	Sun Nov 28 23:59:11 +0000 2021	1465108038654705667	-	CV	1	"@KayandNnn Indeed. Thanks to the anti vax bastards and a failure to get more of the world vaccinated, Covid has ample opportunity to adapt in the wild. But we’re still better off boosted, regardless."
124	Sun Nov 28 23:59:11 +0000 2021	1465108037350289412	/	PL	2	Whose lost more of your respect since CoVid
125	Sun Nov 28 23:59:10 +0000 2021	1465108032715644932	-	CR	2	Call me when they require vaccination to take the train. App only. Until then I do not fuck with any of you people. You all have it AFAIC.
126	Sun Nov 28 23:59:10 +0000 2021	1465108032606642184	-	CS	0	"@NanciGuestRDPhD @NickyBy02694417 @ian_charles007 Blindly following doctors orders is terrible advice. Cancer, MS, doesn't matter, we are all people trying to survive. The covid program reeks of desperation and failure."
128	Sun Nov 28 23:59:09 +0000 2021	1465108028441595907	-	CT	1	@rkmusgrave @couriermail Name another covid variant that has proved to be “mild”.
129	Sun Nov 28 23:59:08 +0000 2021	1465108026759819269	-	CV	0	@nypost This is insanity. Over 75% down from her delta peak- millions more vaccinated/natural immunity. I’ll bet any amount of money More people will die of depression/overdoses than Covid going forward. https://t.co/9tzaMe4nFJ
130	Sun Nov 28 23:59:08 +0000 2021	1465108026126442500	-	CS	1	"@pixxie0 @Hop_Squatch @Catsrbabies Yeah,  you still haven’t looked at satellite photos of the difference in the ice at the poles from 1975 - 2010 yet have you? You are just like one of those people gasping for air in the hospital who swears Covid is just made up, aren’t ya?"
131	Sun Nov 28 23:59:08 +0000 2021	1465108024905719808	-	CS	1	@lg_bt21 i'm also scared because we don't know what covid will bring for the rest of the year. :/
